,Company,Job Title,Job Type,Experience level,Salary,keywords,Facilities,Is Remote,Updated Job Title
27,publicis groupe,bi developer,full time,senior,106.0,"agile,architecture,business intelligence,data analysis,data visualization,etl",health care,False,bi analyst
28,block,data scientist - fraud risk,full time,senior,129.0,"banking,blockchain,crypto,data pipelines,engineering,fraud risk","career development,flex vacation",False,data scientist
29,quintoandar,quintoandar - senior data analyst,full time,senior,92.0,"clustering,looker,python,sql,tableau",fitness / gym,False,data analyst
30,neo cybernetica,ml research engineer,full time,senior,105.0,"cybernetics,datarobot,engineering,keras,machine learning,python","career development,flex hours,health care,startup environment",True,ml engineer
31,western digital,"principal engineer, data project management",full time,senior,55.0,"data analytics,engineering,excel,industrial,statistics",startup environment,False,other
32,podium,senior data engineer,full time,senior,115.0,"apis,big data,computer science,data analysis,data pipelines,data quality",none,True,data engineer
33,netcentric,(senior) digital analytics engineer,full time,senior,110.0,"a/b testing,angular,apis,computer science,engineering,javascript","career development,fitness / gym,flex hours,flex vacation,health care",False,data analyst
34,freeform,senior software engineer (data pipeline),full time,senior,140.0,"big data,ci/cd,computer science,computer vision,data pipelines,data warehousing","career development,equity,flex hours,flex vacation,health care",False,software engineer
35,opera,senior data scientist,full time,senior,129.0,"agile,airflow,big data,bigquery,computer science,data analysis","career development,relocation support",False,data scientist
36,bosch group,data science lead (hybrid),full time,none,63.0,"a/b testing,data visualization,economics,engineering,mathematics,power bi","career development,competitive pay,health care",False,data scientist
37,tiendanube,business intelligence analyst,full time,senior,49.0,"business intelligence,e-commerce,python,sql,tableau",none,True,bi analyst
38,ask media group,lead business intelligence analyst,full time,senior,180.0,"a/b testing,business intelligence,data visualization,kpis,looker,mathematics",none,True,bi analyst
39,angi,senior data scientist,full time,senior,0.0,"big data,data mining,machine learning,mathematics,ml models,phd","401(k) matching,career development,competitive pay,equity,flex vacation",False,data scientist
40,visa,sr data engineer,full time,senior,115.0,"agile,big data,business intelligence,data mining,data visualization,engineering","career development,flex hours,startup environment",False,data engineer
41,aviv group,data modeler,full time,senior,62.0,"architecture,data governance,data management,engineering,kpis,privacy","flex hours,flex vacation",False,other
42,mutt data,data engineer,full time,mid,73.0,"airflow,architecture,aws,big data,bigquery,ci/cd","career development,fitness / gym,flex hours,flex vacation,gear",False,data engineer
43,global atlantic financial group,"vp, actuarial modeling and data management",full time,senior,127.0,"data management,excel,finance,mathematics,ml models,privacy","401(k) matching,career development,competitive pay,equity,fertility benefits",False,data engineer
44,rewe international dienstleistungsgesellschaft m.b.h,junior data science engineer (m/w/x),full time,entry,0.0,"ci/cd,computer science,data pipelines,deep learning,oracle,pipelines",none,False,data scientist
45,imagen technologies,healthcare data analyst,full time,mid,60.0,"business intelligence,engineering,genetics,git,pandas,python","salary bonus,startup environment",True,data analyst
46,sunnova energy international,data scientist,full time,senior,129.0,"agile,apis,architecture,aws,big data,classification",career development,False,data scientist
47,deepl,"data analyst | marketing or sales (f/m/d) - ger, uk, nl, pl",full time,senior,92.0,"agile,data analysis,data visualization,economics,kpis,mathematics","career development,team events",True,data analyst
48,european dynamics,business intelligence expert,full time,mid,45.0,"business intelligence,data analysis,data analytics,phd,privacy,python",career development,True,bi analyst
49,gemini,data engineer,full time,senior,115.0,"airflow,architecture,aws,banking,big data,bigquery","career development,competitive pay,equity,salary bonus",False,data engineer
50,opensea,senior data analyst,full time,senior,135.0,"blockchain,computer science,data analysis,data governance,data management,data quality",equity,True,data analyst
51,weave hq,principle mlops engineer,full time,senior,69.0,"aws,bigtable,data analysis,devops,distributed systems,engineering",none,False,devops engineer
52,monzo,senior data scientist,full time,senior,129.0,"a/b testing,banking,data mining,finance,looker,python","career development,conferences,flex hours",True,data scientist
53,scale ai,"machine learning research engineer, generative ai",full time,senior,176.0,"aws,deep learning,gcp,generative modeling,llms,machine learning","career development,conferences,equity,health care",False,ml engineer
54,channel factory,data analyst - product innovation,full time,mid,65.0,"apis,aws,computer science,data analysis,data pipelines,excel","cell phone stipend,competitive pay,fitness / gym,health care,insurance",True,data analyst
55,confused.com,lead data scientist,full time,mid,40.0,"aws,azure,big data,business intelligence,computer science,data management","career development,competitive pay,conferences,equity,health care",False,data scientist
56,riverflex,data product owner,full time,senior,62.0,"computer science,dataops,engineering,market research,research,testing",none,True,product owner
57,bosch group,bi analyst jr - 24170,full time,entry,48.0,"business intelligence,computer science,data analysis,data governance,data quality,data visualization","career development,home office stipend",False,bi analyst
58,bionic services ltd,html developer,full time,mid,51.0,"agile,finance,javascript,testing",none,False,other
59,nielsen,business intelligence developer,full time,senior,67.0,"agile,apis,architecture,business intelligence,computer science,data management","401(k) matching,health care,salary bonus,wellness",False,bi analyst
60,etsy,"data scientist, marketing analytics",full time,senior,104.0,"big data,data governance,data visualization,engineering,finance,hadoop","career development,competitive pay,equity,salary bonus",False,data scientist
61,ocorian,senior manager - aml/cft & data analyst,full time,senior,92.0,"agile,data management,data quality,excel",startup environment,False,data analyst
62,patientpoint,senior data visualization analyst,full time,senior,69.0,"agile,computer science,data visualization,engineering,javascript,mathematics","career development,competitive pay",False,data analyst
63,fleetio,senior data engineer (remote),full time,mid,73.0,"aws,bigquery,business intelligence,ci/cd,dagster,data pipelines","401(k) matching,career development,equity,gear,health care",True,data engineer
64,databricks,customer data engineer,full time,senior,115.0,"aws,azure,consulting,data analytics,databricks,data warehousing",none,False,data engineer
65,twitch,data engineer- data platform,full time,senior,105.0,"architecture,aws,big data,business intelligence,data pipelines,data quality","career development,equity,fitness / gym,flex hours,flex vacation",True,software engineer
66,roosh,digital marketing lead (zibraai),full time,mid,51.0,"machine learning,physics","career development,startup environment,team events",False,other
67,instacart,staff data scientist - marketing,full time,senior,166.0,"causal inference,computer science,data mining,economics,machine learning,mathematics","career development,competitive pay,equity,flex hours,team events",True,data scientist
68,snowflake inc.,senior sales business intelligence manager,full time,senior,62.0,"banking,business intelligence,consulting,economics,engineering,excel",none,False,bi analyst
69,ssense,"data analyst, customer experience",full time,none,80.0,"business intelligence,computer science,cx,data visualization,e-commerce,engineering","career development,startup environment",False,data analyst
70,amazon.com,machine learning engineer,full time,senior,131.0,"architecture,aws,big data,classification,data mining,data pipelines",career development,False,ml engineer
71,bosch group,etas test lead - autonomous driving solutions,full time,senior,62.0,"agile,autonomous driving,docker,linux,python,testing","career development,competitive pay,flex hours,health care,salary bonus",False,other
72,nbcuniversal,sr. data engineer,full time,senior,115.0,"agile,airflow,architecture,big data,computer science,data analytics","flex hours,health care,insurance,medical leave",False,data engineer
73,databricks,specialist solutions architect - mlops,full time,senior,69.0,"architecture,big data,computer science,databricks,deep learning,engineering","career development,flex hours,flex vacation,health care,insurance",False,devops engineer
74,stripe,"data scientist, terminal",full time,senior,129.0,"causal inference,economics,engineering,finance,machine learning,phd",career development,False,data scientist
75,metiora,data analyst intern,full time,entry,0.0,"matplotlib,mongodb,numpy,pandas,power bi,python",none,False,data analyst
76,kuda technologies ltd,react native engineer - mobile (dubai),full time,mid,40.0,"apis,finance,github,javascript,jira,react","career development,health care,insurance",True,other
77,kpmg australia,artificial intelligence lead | kpmg futures,full time,executive,65.0,"finance,research,testing","career development,flex hours,parental leave",False,ai engineer
78,doubleverify,jr. crm data quality specialist,full time,entry,43.0,"data governance,data quality,finance,research","career development,equity,salary bonus",False,other
79,pure integration,senior data analyst,full time,senior,92.0,"computer science,consulting,consulting firm,data analysis,data quality,engineering",insurance,False,data analyst
80,sap fioneer,data management consultant banking (f/d/m) financial services data platform fsdm,full time,mid,45.0,"banking,data management,mysql,sql","career development,startup environment",True,software engineer
81,appen,"director, artificial intelligence (ai)",full time,executive,81.0,"aws,azure,computer science,finance,gans,gcp","career development,startup environment",False,ai engineer
82,cyberlogic,intermediate bi developer,full time,mid,35.0,"architecture,azure,business intelligence,computer science,databricks,data governance","career development,startup environment",True,bi analyst
83,experian,senior business intelligence analyst,full time,senior,69.0,"athena,aws,business intelligence,computer science,data analytics,data quality","flex hours,flex vacation,medical leave,salary bonus,wellness",False,bi analyst
84,publicis groupe,data analyst,full time,senior,92.0,"big data,computer science,data analytics,databricks,e-commerce,economics","career development,competitive pay,flex hours,flex vacation,health care",False,data analyst
85,peloton,staff machine learning engineer,full time,senior,62.0,"a/b testing,airflow,aws,cassandra,computer science,computer vision",fitness / gym,False,ml engineer
86,fleetio,data analyst (remote),full time,mid,65.0,"bigquery,business intelligence,dagster,databricks,data warehousing,elt","401(k) matching,career development,equity,gear,health care",True,data analyst
87,civis analytics,lead applied data scientist (experience with media mix modeling),full time,senior,0.0,"causal inference,computer science,consulting,data visualization,economics,engineering","401(k) matching,career development,competitive pay,flex hours,flex vacation",True,data scientist
88,nbcuniversal,data engineer i,full time,senior,115.0,"aws,big data,computer science,data pipelines,devops,engineering","career development,flex hours",False,data engineer
89,experian,cloud database analyst,full time,senior,69.0,"aws,big data,computer science,gcp,snowflake,sql","flex hours,flex vacation,medical leave,salary bonus,wellness",False,data engineer
90,freeform,senior machine learning engineer,full time,senior,140.0,"architecture,big data,cassandra,computer science,data mining,deep learning","career development,equity,flex hours,flex vacation,health care",False,ml engineer
91,foxintelligence,junior data analyst,full time,mid,65.0,"classification,consulting,data management,power bi,python,r",none,False,data analyst
92,visa,financial data analyst,full time,senior,69.0,"data analytics,data visualization,excel,finance,phd,power bi","equity,health care,insurance,salary bonus,wellness",False,data analyst
93,publicis groupe,data engineer,full time,none,96.0,"apis,azure,computer science,data pipelines,engineering,etl",none,False,data engineer
94,sia partners,senior consultant in data science,full time,entry,39.0,"big data,consulting,consulting firm,econometrics,finance,machine learning","career development,competitive pay,salary bonus",False,data scientist
95,grail,staff clinical data manager # 3073,full time,senior,69.0,"biology,computer science,data management,data quality,data visualization,gcp","401(k) matching,flex hours,flex vacation,health care,salary bonus",False,other
96,motorway,hr data analyst,full time,none,56.0,"data analysis,research","career development,competitive pay,equity,fitness / gym,health care",False,data analyst
97,sia partners,consultant in data science,full time,entry,39.0,"big data,consulting,consulting firm,econometrics,finance,machine learning","career development,competitive pay,salary bonus",False,data scientist
98,curated,machine learning engineer,full time,senior,131.0,"aws,azure,bert,chatbots,classification,deep learning",none,False,ml engineer
99,shopify,"staff engineer, data platform",full time,senior,62.0,"aws,azure,bigquery,computer science,dataflow,dataproc",none,False,software engineer
100,shopify,"staff engineer, data platform",full time,senior,62.0,"aws,azure,bigquery,computer science,dataflow,dataproc",none,False,software engineer
101,chainalysis,data engineer,full time,senior,115.0,"agile,airflow,apis,architecture,banking,blockchain",career development,True,data engineer
102,verisk,data engineer,full time,senior,115.0,"apis,architecture,data pipelines,engineering,javascript,nosql",flex hours,False,data engineer
103,etsy,"senior data scientist, marketing analytics",full time,senior,130.0,"big data,bigquery,data governance,data visualization,engineering,finance","career development,competitive pay,equity,salary bonus",False,data scientist
104,ttec digital,"director, iva and ai solutions - professional services practice lead",full time,executive,73.0,"angular,apis,architecture,asr,aws,azure",career development,True,ai engineer
105,tide,lead data analyst(marketing/growth analytics),full time,senior,92.0,"a/b testing,banking,engineering,fintech,kpis,looker","career development,competitive pay,equity,flex hours,flex vacation",True,data analyst
106,lucid motors,"data analyst, service analytics",full time,senior,131.0,"apis,business analytics,engineering,etl,git,jira","401(k) matching,competitive pay,equity,health care,insurance",False,data analyst
107,amazon.com,"amazon robotics - hardware engineer co-op (july-december 2023), amazon robotics",full time,entry,44.0,"agile,computer vision,cx,engineering,machine learning,prototyping",career development,False,ai engineer
108,kpler,senior/staff data engineer,full time,senior,115.0,"ansible,aws,data pipelines,devops,elasticsearch,engineering","competitive pay,flex vacation,gear,medical leave,parental leave",False,data engineer
109,devbridge,data engineer,full time,mid,73.0,"airflow,apis,aws,azure,data analytics,data pipelines","competitive pay,health care,team events",False,data engineer
110,similarweb,data product manager,full time,none,50.0,"architecture,big data,engineering,machine learning,privacy,python","career development,competitive pay,startup environment,team events",False,product manager
111,deloitte,fsa (fintech) - quantitative machine learning specialist & software developer,full time,senior,48.0,"architecture,banking,computer science,consulting,credit risk,docker","career development,flex vacation,startup environment",False,ml engineer
112,publicis groupe,data engineer analyst,full time,entry,59.0,"apis,etl,gcp,google cloud,hadoop,javascript",none,False,data engineer
113,freeform,software engineer (data pipeline),full time,senior,100.0,"big data,ci/cd,computer science,computer vision,data pipelines,data warehousing","career development,equity,flex hours,flex vacation,health care",False,software engineer
114,gumgum,senior data scientist,full time,senior,129.0,"computer science,data quality,engineering,feature engineering,gcp,machine learning","competitive pay,flex vacation",False,data scientist
115,kobold metals,associate data scientist,full time,mid,60.0,"computer science,data analysis,eda,engineering,git,github",none,False,data scientist
116,publicis groupe,data engineering analyst,full time,entry,52.0,"aws,azure,data management,data warehousing,engineering,etl","career development,flex hours,flex vacation,health care,startup environment",False,data engineer
117,talan,talan consulting  consultant senior/manager  data strategy (h/f),full time,senior,62.0,"architecture,consulting,data governance,data management,data strategy,machine learning",none,False,other
118,6point6,enterprise data architect - 6 month contract,full time,senior,135.0,"apis,architecture,json,model design,security,sql","competitive pay,equity,flex vacation,health care,salary bonus",False,data architect
119,branching minds,data engineer ii,full time,mid,76.0,"agile,airtable,aws,databricks,engineering,postgresql","career development,equity,flex vacation,startup environment,transparency",True,data engineer
120,appen,data scientist/machine learning engineer,full time,senior,129.0,"aws,azure,computer science,data management,data visualization,deep learning","career development,startup environment",False,ml engineer
121,anvl,data engineer,full time,mid,73.0,"architecture,aws,data analytics,data warehouse,dynamodb,elasticsearch","career development,equity,flex hours,health care,startup environment",True,data engineer
122,pure integration,data analyst,full time,senior,92.0,"computer science,consulting,consulting firm,data analysis,data quality,engineering",insurance,False,data analyst
123,podium,"senior data scientist, product",full time,senior,129.0,"bayesian,business analytics,classification,data analysis,data analytics,data mining",career development,False,data scientist
124,sentinelone,"senior technical support engineer, dataset",full time,senior,62.0,"aws,devops,docker,ec2,engineering,kubernetes",transparency,False,other
125,amazon.com,"finance business intelligence , operations finance",full time,none,50.0,"aws,big data,business intelligence,data mining,data quality,data visualization",none,False,bi analyst
126,block,"staff machine learning modeler, financial crimes",full time,senior,172.0,"airflow,aws,banking,blockchain,classification,computer science","career development,equity,health care,insurance,parental leave",False,ml engineer
127,servicenow,machine learning engineer,full time,senior,119.0,"machine learning,oop,python,research,testing","401(k) matching,career development,competitive pay,equity,flex hours",False,ml engineer
128,techstars,senior business intelligence analyst,full time,senior,125.0,"business intelligence,clustering,data analysis,data analytics,data governance,data pipelines","career development,startup environment,team events",False,bi analyst
129,riskified,data scientist,full time,none,92.0,"airflow,big data,classification,clustering,computer science,databricks","career development,equity,health care,home office stipend,insurance",False,data scientist
130,spotify,data engineer - music,full time,senior,116.0,"agile,architecture,aws,big data,bigquery,computer science","career development,equity,flex hours,flex vacation,health care",False,data engineer
131,syngenta group,data manager,full time,none,77.0,"biology,consulting,data analysis,data analytics,data management,data quality","career development,insurance",False,other
132,mutt data,machine learning engineer,full time,mid,74.0,"airflow,architecture,aws,big data,ci/cd,databricks","career development,fitness / gym,flex hours,flex vacation,gear",False,ml engineer
133,psi cro,salesforce administrator/data specialist,full time,none,70.0,"computer science,data governance,power bi,research",career development,False,other
134,spacex,data engineer (starlink),full time,senior,120.0,"clustering,computer science,data analysis,data analytics,engineering,etl","career development,equity,health care,insurance,medical leave",False,data engineer
135,sunnova energy international,data engineer,full time,senior,115.0,"agile,apis,architecture,aws,azure,ci/cd",career development,False,data engineer
136,talan,data engineer confirmé bi - big data,full time,senior,115.0,"agile,angular,big data,blockchain,etl,hadoop",none,False,bi analyst
137,databricks,"director, spark technical solutions",full time,executive,65.0,"aws,azure,big data,computer science,databricks,elasticsearch","career development,startup environment",False,other
138,payplug,data engineer,full time,entry,59.0,"architecture,bigquery,ci/cd,docker,engineering,gcp",none,False,data engineer
139,sigma software,middle data engineer (healthcare domain),full time,mid,73.0,"architecture,azure,big data,bigquery,data analysis,databricks",none,False,data engineer
140,metro/makro,senior data analyst (pricing),full time,senior,92.0,"bigquery,data pipelines,data visualization,elt,engineering,etl",none,False,data analyst
141,fannie mae,people analytics data visualization senior associate (open to remote),full time,mid,51.0,"architecture,aws,business intelligence,classification,consulting,data visualization","career development,flex hours,health care,home office stipend",False,data analyst
142,alter solutions,développeur power bi - h/f,full time,senior,62.0,"agile,architecture,kpis,power bi,privacy,r",none,False,bi analyst
143,veeva systems,data engineer,full time,senior,115.0,"airflow,aws,business analytics,databricks,dataops,data pipelines","career development,fitness / gym,health care,insurance",False,data engineer
144,curated,product manager - experts & artificial intelligence,full time,senior,69.0,"computer science,e-commerce,llms,machine learning,nlp,research","career development,startup environment",False,ai engineer
145,bosch group,group manager data analytics india,full time,senior,55.0,"data analytics,industrial",none,False,data analyst
146,statkraft,data analyst,full time,entry,48.0,"apis,big data,data analysis,data quality,github,grafana","career development,flex hours,startup environment",False,data analyst
147,lendi group,senior data engineer,full time,senior,115.0,"agile,airflow,architecture,aws,azure,data governance","career development,flex hours,parental leave",True,data engineer
148,publicis groupe,"vice president director, data scientist",full time,executive,92.0,"aws,big data,business analytics,hadoop,machine learning,mathematics",career development,False,data scientist
149,amazon.com,"business intelligence analyst, aws cloud logistics",full time,none,50.0,"aws,business intelligence,cx,data analytics,data management,data visualization",none,False,bi analyst
150,altos labs,"scientist/senior scientist, machine learning",full time,senior,69.0,"computer science,data analysis,deep learning,diffusion models,drug discovery,genetics","career development,conferences",False,ml engineer
151,"thousandeyes, inc.","principal site reliability engineer, datastores (hybrid)",full time,senior,176.0,"architecture,aws,elasticsearch,engineering,kafka,kubernetes","career development,equity,health care,insurance,salary bonus",False,other
152,bosch group,data scientist,full time,entry,40.0,"big data,computer science,cx,cybernetics,engineering,industrial","flex hours,startup environment",False,data scientist
153,block,machine learning manager (systems),full time,none,189.0,"airflow,aws,banking,blockchain,crypto,data analysis","career development,equity,health care,insurance,parental leave",False,ml engineer
154,sia partners,consultant data engineer,full time,entry,39.0,"apis,architecture,aws,azure,big data,ci/cd",startup environment,False,data engineer
155,nobleai,machine learning engineer l3,full time,mid,149.0,"computer science,kpis,machine learning,ml models,research,security","401(k) matching,career development,equity,flex vacation,health care",False,ml engineer
156,adevinta,data analyst coches.net,full time,senior,92.0,"airflow,big data,classification,clustering,data analysis,databricks","career development,competitive pay,conferences,fitness / gym,gear",False,data analyst
157,liveperson,"senior product marketing manager, conversational intelligence & ai products",full time,senior,130.0,"engineering,excel,market research,research","career development,competitive pay,conferences,fertility benefits,health care",True,ai engineer
158,yougov,graduate data analyst,full time,entry,48.0,"data analysis,excel,market research,privacy,research,statistics","career development,health care,insurance,medical leave,parental leave",False,data analyst
159,lambda,analytics engineer,full time,senior,110.0,"apis,architecture,aws,bigquery,business analytics,computer science","401(k) matching,career development,conferences,equity,flex hours",True,data analyst
160,databricks,specialist solutions architect - data engineering (public sector),full time,senior,115.0,"apis,architecture,aws,azure,big data,ci/cd","career development,flex hours,flex vacation,health care,insurance",True,data engineer
161,fullscript,senior machine learning engineer,full time,senior,131.0,"ai strategy,bigquery,data mining,engineering,gpt,llms","career development,equity,flex hours,flex vacation,health care",False,ml engineer
162,zeta,data scientist,full time,entry,40.0,"banking,chatbots,data analysis,engineering,fintech,machine learning","career development,startup environment",False,data scientist
163,tempus,senior data quality assurance specialist,full time,senior,69.0,"biology,computer science,data quality,data visualization,engineering,genetics",none,False,other
164,"thousandeyes, inc.","senior site reliability engineer, datastores (hybrid)",full time,senior,62.0,"aws,dynamodb,elasticsearch,kafka,kubernetes,linux","career development,team events",False,other
165,arize ai,"customer success junior ml engineer, onboarding specialist",full time,entry,90.0,"apis,aws,azure,consulting,deep learning,drones","competitive pay,equity,health care,medical leave,parental leave",True,ml engineer
166,twenty first group,senior data science engineer,full time,mid,51.0,"aws,bayesian,docker,engineering,git,machine learning","career development,flex hours,health care",False,data scientist
167,netcentric,digital analytics engineer,full time,senior,110.0,"consulting,gcp,google cloud,looker,power bi,privacy","fitness / gym,flex hours,flex vacation,home office stipend,salary bonus",False,data analyst
168,faraday future,senior big data engineer,full time,senior,0.0,"airflow,aws,azure,big data,computer science,data analysis","equity,relocation support",False,data engineer
169,twilio,"senior data scientist, marketing",full time,senior,120.0,"airflow,aws,data analytics,data pipelines,engineering,looker","401(k) matching,career development,competitive pay,equity,flex vacation",True,data scientist
170,wallbox,analytics engineer intern,internship,entry,0.0,"airflow,bigquery,ci/cd,databricks,data quality,data warehouse","career development,flex hours,team events",False,data analyst
171,current,master data team manager,full time,executive,73.0,"data quality,industrial",401(k) matching,False,other
172,block,"senior data engineer, enterprise engineering",full time,senior,115.0,"airflow,aws,banking,blockchain,crypto,cx","career development,parental leave,wellness",False,data engineer
173,foursquare,data operations associate,full time,entry,39.0,"architecture,aws,dataops,engineering,privacy,python","career development,flex hours,flex vacation,health care,home office stipend",False,devops engineer
174,fetch,data analyst,full time,senior,92.0,"airflow,aws,big data,bitbucket,data analytics,excel","401(k) matching,equity,flex hours,flex vacation,health care",False,data analyst
175,extreme networks,staff ml engineer (8627),full time,senior,131.0,"bayesian,big data,computer science,docker,engineering,git",career development,False,ml engineer
176,databricks,specialist architect : big data,full time,senior,49.0,"architecture,aws,azure,big data,consulting,data analytics","career development,health care,insurance,medical leave,parental leave",True,other
177,bosch group,research engineer in multi agent path finding for mobile robots (f/m/div.),full time,entry,105.0,"agile,computer science,deep learning,industrial,linux,machine learning",none,False,other
178,databricks,"product marketing manager, data engineering",full time,senior,115.0,"computer science,databricks,engineering,etl,excel,mlflow","career development,conferences,flex vacation,health care,insurance",False,data engineer
179,sia partners,machine learning engineer,full time,entry,30.0,"aws,azure,big data,computer science,computer vision,consulting","career development,competitive pay,conferences,salary bonus,startup environment",False,ml engineer
180,meshcapade,cv/ml engineer for 3d virtual humans - remote europe,full time,senior,131.0,"computer science,computer vision,deep learning,engineering,machine learning,ml models","career development,competitive pay,flex hours,team events",True,ml engineer
181,srijan technologies,senior data engineer - data bricks,full time,senior,115.0,"agile,apis,azure,databricks,data management,data pipelines",career development,False,data engineer
182,uniphore,director ai science,full time,executive,81.0,"banking,computer science,conversational ai,data analysis,industrial,llms","conferences,startup environment,team events",False,ai engineer
183,control risks,researcher- business intelligence,full time,entry,35.0,"business intelligence,excel,finance,research","career development,equity,flex hours,salary bonus",False,bi analyst
184,"nuro, inc.",machine learning research scientist,full time,entry,167.0,"computer science,data pipelines,deep learning,iclr,icml,machine learning","career development,competitive pay,conferences,equity,salary bonus",False,ml engineer
185,peloton,"staff database reliability engineer, datastores",full time,senior,236.0,"architecture,aws,consulting,distributed systems,dynamodb,engineering","401(k) matching,competitive pay,equity,fertility benefits,fitness / gym",False,other
186,tripadvisor,"senior data scientist - viator, london, oxford, uk remote",full time,senior,129.0,"a/b testing,bayesian,ci/cd,computer vision,deep learning,e-commerce","career development,competitive pay,fitness / gym,health care,insurance",False,data scientist
187,moonpig,data engineer,full time,senior,115.0,"airflow,architecture,aws,data pipelines,engineering,fivetran",none,False,data engineer
188,agoda,"data analyst (bangkok based, relocation provided)",full time,senior,92.0,"a/b testing,banking,business intelligence,computer science,consulting,data analysis",career development,False,data analyst
189,raft,associate ai/ml engineer,full time,mid,77.0,"computer science,engineering,github,machine learning,mathematics,ml models","401(k) matching,career development,competitive pay,flex hours,flex vacation",True,ml engineer
190,business & decision,azure data architect,full time,senior,62.0,"architecture,azure,business intelligence,devops,machine learning,sql",none,False,data architect
191,tesco bengaluru,senior applied data scientist,full time,senior,50.0,"excel,finance,github,mathematics,r,sql",none,False,data scientist
192,publicis groupe,"senior scientist, decision sciences",full time,senior,69.0,"big data,computer science,data analysis,data management,economics,engineering","career development,competitive pay,health care,startup environment",False,other
193,umniah,data scientist,full time,entry,40.0,"apis,architecture,clustering,computer science,data analysis,data analytics",career development,False,data scientist
194,deliveroo,data operations & insights manager,full time,mid,51.0,"bigquery,data analysis,data analytics,dataops,e-commerce,engineering","career development,parental leave",False,devops engineer
195,visa,principal ml engineer - ai platform,full time,senior,131.0,"agile,ai governance,architecture,big data,deep learning,engineering","career development,equity,health care,insurance,salary bonus",False,ml engineer
